Publisher,ISSN,title,mode,APC,year
Wiley,17585910,Asian Journal of Endoscopic Surgery,Hybrid,2940,2023
Wiley,21935815,Asian Journal of Organic Chemistry,Hybrid,3660,2023
Wiley,1467839X,Asian Journal of Social Psychology,Hybrid,2830,2023
Wiley,19430787,Asian Politics & Policy,Hybrid,2630,2023
Wiley,17531411,Asian Social Work and Policy Review,Hybrid,2630,2023
Wiley,14678411,Asian-Pacific Economic Literature,Hybrid,2630,2023
Wiley,19322143,Asia-Pacific Journal of Chemical Engineering,Hybrid,3090,2023
Wiley,17437563,Asia-Pacific Journal of Clinical Oncology,Hybrid,3350,2023
Wiley,20416156,Asia-Pacific Journal of Financial Studies,Hybrid,2550,2023
Wiley,17585872,Asia-Pacific Psychiatry,Hybrid,3240,2023
Wiley,15213994,Astronomische Nachrichten,Hybrid,3140,2023
Wiley,14429993,Austral Ecology,Hybrid,3150,2023
Wiley,20521758,Austral Entomology,Hybrid,3090,2023
Wiley,14400960,Australasian Journal of Dermatology,Hybrid,3810,2023
Wiley,22050140,Australasian Journal of Ultrasound in Medicine,Hybrid,3550,2023
Wiley,17416612,Australasian Journal on Ageing,Hybrid,3550,2023
Wiley,1467842X,Australian & New Zealand Journal of Statistics,Hybrid,2830,2023
Wiley,18352561,Australian Accounting Review,Hybrid,2650,2023
Wiley,14678438,Australian and New Zealand Journal of Family Therapy,Hybrid,2630,2023
Wiley,1479828X,Australian and New Zealand Journal of Obstetrics and Gynaecology,Hybrid,3550,2023
Wiley,18347819,Australian Dental Journal,Hybrid,2580,2023
Wiley,14678446,Australian Economic History Review,Hybrid,2630,2023
Wiley,14678454,Australian Economic Papers,Hybrid,2630,2023
Wiley,17474477,Australian Endodontic Journal,Hybrid,2830,2023
Wiley,17550238,Australian Journal of Grape and Wine Research,Hybrid,3750,2023
Wiley,14678497,Australian Journal of Politics and History,Hybrid,2630,2023
Wiley,14678500,Australian Journal of Public Administration,Hybrid,2830,2023
Wiley,14401584,Australian Journal of Rural Health,Hybrid,3240,2023
Wiley,18394655,Australian Journal of Social Issues,Hybrid,3140,2023
Wiley,14401630,Australian Occupational Therapy Journal,Hybrid,3140,2023
Wiley,17510813,Australian Veterinary Journal,Hybrid,3240,2023
Wiley,19393806,Autism Research,Hybrid,4690,2023
Wiley,25778161,AWWA Water Science,Hybrid,3000,2023
Wiley,17427843,Basic & Clinical Pharmacology & Toxicology,Hybrid,4220,2023
Wiley,13652117,Basin Research,Hybrid,3900,2023
Wiley,25666223,Batteries & Supercaps,Hybrid,3660,2023
Wiley,1099078X,Behavioral Interventions,Hybrid,2630,2023
Wiley,10990798,Behavioral Sciences & the Law,Hybrid,3090,2023
Wiley,15222365,Berichte zur Wissenschaftsgeschichte,Hybrid,3140,2023
Wiley,15393429,Biochemistry and Molecular Biology Education,Hybrid,3350,2023
Wiley,1521186X,Bioelectromagnetics,Hybrid,3190,2023
Wiley,15211878,BioEssays,Hybrid,4840,2023
Wiley,14678519,Bioethics,Hybrid,4120,2023
Wiley,18728081,BioFactors,Hybrid,3760,2023
Wiley,19321031,"Biofuels, Bioproducts and Biorefining",Hybrid,4530,2023
Wiley,1469185X,Biological Reviews,Hybrid,4890,2023
Wiley,1768322X,Biology of the Cell,Hybrid,3450,2023
Wiley,10990801,Biomedical Chromatography,Hybrid,3550,2023
Wiley,15214036,Biometrical Journal,Hybrid,4120,2023
Wiley,15410420,Biometrics,Hybrid,3710,2023
Wiley,1099081X,Biopharmaceutics & Drug Disposition,Hybrid,3450,2023
Wiley,10970282,Biopolymers,Hybrid,3760,2023
Wiley,14708744,Biotechnology and Applied Biochemistry,Hybrid,3140,2023
Wiley,10970290,Biotechnology and Bioengineering,Hybrid,4840,2023
Wiley,18607314,Biotechnology Journal,Hybrid,4330,2023
Wiley,15206033,Biotechnology Progress,Hybrid,4120,2023
Wiley,17447429,Biotropica,Hybrid,2500,2023
Wiley,13995618,Bipolar Disorders,Hybrid,4430,2023
Wiley,1523536X,Birth,Hybrid,4530,2023
Wiley,24721727,Birth Defects Research,Hybrid,3350,2023
Wiley,14710528,BJOG: An International Journal of Obstetrics and Gynaecology,Hybrid,4940,2023
Wiley,1464410X,BJU International,Hybrid,4070,2023
Wiley,14693518,British Educational Research Journal,Hybrid,4120,2023
Wiley,13652125,British Journal of Clinical Pharmacology,Hybrid,4330,2023
Wiley,20448260,British Journal of Clinical Psychology,Hybrid,3760,2023
Wiley,2044835X,British Journal of Developmental Psychology,Hybrid,3090,2023
Wiley,20448279,British Journal of Education Psychology,Hybrid,3760,2023
Wiley,14678535,British Journal of Educational Technology,Hybrid,3860,2023
Wiley,13652141,British Journal of Haematology,Hybrid,4940,2023
Wiley,20448287,British Journal of Health Psychology,Hybrid,4120,2023
Wiley,14678543,British Journal of Industrial Relations,Hybrid,3660,2023
Wiley,14683156,British Journal of Learning Disabilities,Hybrid,2830,2023
Wiley,14678551,British Journal of Management,Hybrid,3710,2023
Wiley,20448317,British Journal of Mathematical and Statistical Psychology,Hybrid,3090,2023
Wiley,14765381,British Journal of Pharmacology,Hybrid,4330,2023
Wiley,20448295,British Journal of Psychology,Hybrid,3760,2023
Wiley,17520118,British Journal of Psychotherapy,Hybrid,3140,2023
Wiley,1748880X,British Journal of Radiology,Hybrid,2940,2023
Wiley,20448309,British Journal of Social Psychology,Hybrid,3970,2023
Wiley,14678578,British Journal of Special Education,Hybrid,2630,2023
Wiley,14678586,Bulletin of Economic Research,Hybrid,2630,2023
Wiley,14709856,Bulletin of Latin American Research,Hybrid,3140,2023
Wiley,12295949,Bulletin of the Korean Chemical Society,Hybrid,3140,2023
Wiley,14692120,Bulletin of the London Mathematical Society,Hybrid,3710,2023
Wiley,14678594,Business and Society Review,Hybrid,2630,2023
Wiley,26946424,Business Ethics: A European Review,Hybrid,3450,2023
Wiley,25723170,Business Strategy and Development,Hybrid,2940,2023
Wiley,10990836,Business Strategy and the Environment,Hybrid,4070,2023
Wiley,25097075,c/e papers,Hybrid,3140,2023
Wiley,19364490,Canadian Journal of Administrative SciencesRevue Canadienne des Sciences de l'Administration,Hybrid,2630,2023
Wiley,17447976,Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,Hybrid,2630,2023
Wiley,15405982,Canadian Journal of Economics/Revue canadienne d'économique,Hybrid,2830,2023
Wiley,17547121,Canadian Public Administration/AdministrationPublique du Canada,Hybrid,2630,2023
Wiley,1755618X,Canadian Review of Sociology/Revue canadienne de sociologie,Hybrid,2730,2023
Wiley,10970142,Cancer,Hybrid,4740,2023
Wiley,19346638,Cancer Cytopathology,Hybrid,2830,2023
Wiley,1522726X,Catheterization and Cardiovascular Interventions,Hybrid,4330,2023
Wiley,10990844,Cell Biochemistry & Function,Hybrid,4020,2023
Wiley,10958355,Cell Biology International,Hybrid,3550,2023
Wiley,19433638,Cereal Chemistry,Hybrid,3400,2023
Wiley,14397633,ChemBioChem,Hybrid,4020,2023
Wiley,21969744,ChemBioEng Reviews,Hybrid,3660,2023
Wiley,18673899,ChemCatChem,Hybrid,4120,2023
Wiley,17470285,Chemical Biology & Drug Design,Hybrid,3550,2023
Wiley,15214125,Chemical Engineering & Technology,Hybrid,3660,2023
Wiley,15222640,Chemie-Ingenieur-Technik (CIT),Hybrid,3660,2023
Wiley,15213765,Chemistry - A European Journal,Hybrid,4640,2023
Wiley,1861471X,Chemistry - An Asian Journal,Hybrid,4220,2023
Wiley,16121880,Chemistry & Biodiversity,Hybrid,3660,2023
Wiley,23656549,ChemistrySelect,Hybrid,3660,2023
Wiley,15213730,ChemKon,Hybrid,3140,2023
Wiley,18607187,ChemMedChem,Hybrid,3760,2023
Wiley,2199692X,CHEMNANOMAT,Hybrid,3650,2023
Wiley,23670932,ChemPhotoChem,Hybrid,3660,2023
Wiley,14397641,ChemPhysChem,Hybrid,4120,2023
Wiley,21926506,ChemPlusChem,Hybrid,3660,2023
Wiley,1864564X,ChemSusChem,Hybrid,4120,2023
Wiley,25704206,ChemSystemsChem,Hybrid,3660,2023
Wiley,13652206,Child & Family Social Work,Hybrid,3760,2023
Wiley,10990852,Child Abuse Review,Hybrid,3040,2023
Wiley,14753588,Child and Adolescent Mental Health,Hybrid,3190,2023
Wiley,14678624,Child Development,Hybrid,4070,2023
Wiley,17508606,Child Development Perspectives,Hybrid,3350,2023
Wiley,13652214,"Child: Care, Health and Development",Hybrid,3550,2023
Wiley,10990860,Children & Society,Hybrid,3450,2023
Wiley,1749124X,China & World Economy,Hybrid,2630,2023
Wiley,16147065,Chinese Journal of Chemistry,Hybrid,3140,2023
Wiley,1520636X,Chirality,Hybrid,3660,2023
Wiley,1548744X,City & Society,Hybrid,3090,2023
Wiley,2625073X,Civil Engineering Design,Hybrid,2940,2023
Wiley,10960031,Cladistics,Hybrid,3810,2023
Wiley,18630669,"CLEAN – Soil, Air, Water",Hybrid,4020,2023
Wiley,13652222,Clinical & Experimental Allergy,Hybrid,4640,2023
Wiley,14429071,Clinical & Experimental Ophthalmology,Hybrid,3760,2023
Wiley,21630097,Clinical Advances in Periodontics,Hybrid,3140,2023
Wiley,10982353,Clinical Anatomy,Hybrid,4120,2023
Wiley,17591961,Clinical and Experimental Neuroimmunology,Hybrid,2580,2023
Wiley,14401681,Clinical and Experimental Pharmacology and Physiology,Hybrid,3760,2023
Wiley,13652265,Clinical Endocrinology,Hybrid,4330,2023
Wiley,13990004,Clinical Genetics,Hybrid,4740,2023
Wiley,17088208,Clinical Implant Dentistry and Related Research,Hybrid,4330,2023
Wiley,17588111,Clinical Obesity,Hybrid,2940,2023
Wiley,16000501,Clinical Oral Implants Research,Hybrid,4690,2023
Wiley,17494486,Clinical Otolaryngology,Hybrid,4430,2023
Wiley,15326535,Clinical Pharmacology & Therapeutics,Hybrid,4000,2023
Wiley,21607648,Clinical Pharmacology in Drug Development,Hybrid,3450,2023
Wiley,1475097X,Clinical Physiology and Functional Imaging,Hybrid,3660,2023
Wiley,10990879,Clinical Psychology & Psychotherapy,Hybrid,3810,2023
Wiley,1743498X,"Clinical Teacher, The",Hybrid,3350,2023
Wiley,13990012,Clinical Transplantation,Hybrid,4120,2023
Wiley,14651858,Cochrane Library* (Not eligible for APC coverage through a Transitional Deal),Hybrid,5100,2023
Wiley,15516709,Cognitive Science - A Multidisciplinary Journal,Hybrid,3810,2023
Wiley,15206378,Color Research and Application,Hybrid,3760,2023
Wiley,14784408,Coloration Technology,Hybrid,3760,2023
Wiley,14631318,Colorectal Disease,Hybrid,4070,2023
Wiley,10970312,Communications on Pure and Applied Mathematics,Hybrid,4740,2023
Wiley,16000528,Community Dentistry and Oral Epidemiology,Hybrid,4220,2023
Wiley,15414337,Comprehensive Reviews in Food Science and Food Safety,Hybrid,4530,2023
Wiley,14678640,Computational Intelligence,Hybrid,3450,2023
Wiley,1546427X,Computer Animation & Virtual Worlds,Hybrid,3040,2023
Wiley,10990542,Computer Applications In Engineering Education,Hybrid,3760,2023
Wiley,14678659,Computer Graphics Forum,Hybrid,3710,2023
Wiley,14678667,Computer-Aided Civil and Infrastructure Engineering,Hybrid,4740,2023
Wiley,15320634,Concurrency and Computation: Practice and Experience,Hybrid,4740,2023
Wiley,15411508,Conflict Resolution Quarterly,Hybrid,3140,2023
Wiley,17414520,Congenital Anomalies,Hybrid,2830,2023
Wiley,15231739,Conservation Biology,Hybrid,3090,2023
Wiley,14678675,Constellations,Hybrid,2630,2023
Wiley,24761281,Consumer Psychology Review,Hybrid,3140,2023
Wiley,16000536,Contact Dermatitis,Hybrid,4690,2023
Wiley,19113846,Contemporary Accounting Research,Hybrid,3090,2023
Wiley,14657287,Contemporary Economic Policy,Hybrid,2830,2023
Wiley,15213986,Contributions to Plasma Physics,Hybrid,3450,2023
Wiley,14678683,Corporate Governance: An International Review,Hybrid,3660,2023
Wiley,15353966,Corporate Social Responsibility and EnvironmentalManagement,Hybrid,3710,2023
Wiley,17461405,Counselling and Psychotherapy Research,Hybrid,2630,2023
Wiley,15566978,Counselor Education and Supervision,Hybrid,2630,2023
Wiley,14678691,Creativity and Innovation Management,Hybrid,3040,2023
Wiley,14712857,Criminal Behaviour and Mental Health,Hybrid,3240,2023
Wiley,17459125,Criminology,Hybrid,3400,2023
Wiley,17459133,Criminology and Public Policy,Hybrid,3190,2023
Wiley,14678705,Critical Quarterly,Hybrid,2630,2023
Wiley,14350653,Crop Science,Hybrid,1500,2023
Wiley,23743832,"Crop, Forage & Turfgrass Management",Hybrid,1350,2023
Wiley,23253606,Crops & Soils,Hybrid,1150,2023
Wiley,15214079,Crystal Research & Technology,Hybrid,4020,2023
Wiley,23253584,CSA News,Hybrid,1150,2023
Wiley,21539561,"Culture, Agriculture, Food and Environment",Hybrid,3090,2023
Wiley,21516952,Curator: The Museum Journal,Hybrid,2630,2023
Wiley,26911299,Current Protocols,Hybrid,4890,2023
Wiley,19483430,Current Protocols Essential Laboratory Techniques,Hybrid,5050,2023
Wiley,1934340X,Current Protocols in Bioinformatics,Hybrid,5050,2023
Wiley,19342616,Current Protocols in Cell Biology,Hybrid,5050,2023
Wiley,21604762,Current Protocols in Chemical Biology,Hybrid,5050,2023
Wiley,19349300,Current Protocols in Cytometry,Hybrid,5050,2023
Wiley,19348258,Current Protocols in Human Genetics,Hybrid,5050,2023
Wiley,1934368X,Current Protocols in Immunology,Hybrid,5050,2023
Wiley,19348533,Current Protocols in Microbiology,Hybrid,5050,2023
Wiley,19343647,Current Protocols in Molecular Biology,Hybrid,5050,2023
Wiley,21612617,Current Protocols in Mouse Biology,Hybrid,5050,2023
Wiley,19348576,Current Protocols in Neuroscience,Hybrid,5050,2023
Wiley,19349289,Current Protocols in Nucleic Acid Chemistry,Hybrid,5050,2023
Wiley,19348290,Current Protocols in Pharmacology,Hybrid,5050,2023
Wiley,23798068,Current Protocols in Plant Biology,Hybrid,5050,2023
Wiley,19343663,Current Protocols in Protein Science,Hybrid,5050,2023
Wiley,19388969,Current Protocols in Stem Cell Biology,Hybrid,5050,2023
Wiley,19349262,Current Protocols in Toxicology,Hybrid,5050,2023
Wiley,14678748,Curtis's Botanical Magazine,Hybrid,3140,2023
Wiley,15524930,Cytometry Part A,Hybrid,3350,2023
Wiley,15524957,Cytometry Part B: Clinical Cytometry,Hybrid,3450,2023
Wiley,13652303,Cytopathology,Hybrid,3550,2023
Wiley,19493592,Cytoskeleton,Hybrid,3550,2023
Wiley,15405915,Decision Sciences,Hybrid,2940,2023
Wiley,15404609,Decision Sciences Journal of Innovative Education,Hybrid,2630,2023
Wiley,16009657,Dental Traumatology,Hybrid,4070,2023
Wiley,1476542X,DentoMaxilloFacial Radiology,Hybrid,2940,2023
Wiley,26377489,Dermatological Reviews,Hybrid,3140,2023
Wiley,19487177,Design Management Journal,Hybrid,2630,2023
Wiley,19487169,Design Management Review,Hybrid,2630,2023
Wiley,14718847,Developing World Bioethics,Hybrid,3450,2023
Wiley,14677660,Development and Change,Hybrid,3760,2023
Wiley,14677679,Development Policy Review,Hybrid,3140,2023
Wiley,1440169X,"Development, Growth & Differentiation",Hybrid,3800,2023
Wiley,10970177,Developmental Dynamics,Hybrid,4020,2023
Wiley,14698749,Developmental Medicine & Child Neurology,Hybrid,5050,2023
Wiley,1932846X,Developmental Neurobiology,Hybrid,4120,2023
Wiley,10982302,Developmental Psychobiology,Hybrid,3550,2023
Wiley,14677687,Developmental Science,Hybrid,4020,2023
Wiley,14631326,"Diabetes, Obesity and Metabolism",Hybrid,4940,2023
Wiley,15207560,Diabetes/Metabolism Research and Reviews,Hybrid,4330,2023
Wiley,14645491,Diabetic Medicine,Hybrid,4640,2023
Wiley,10970339,Diagnostic Cytopathology,Hybrid,3550,2023
Wiley,15406385,Dialog,Hybrid,2630,2023
Wiley,17561221,Die Unterrichtspraxis/Teaching German,Hybrid,2630,2023
Wiley,19493606,Digest of Middle East Studies,Hybrid,2630,2023
Wiley,14431661,Digestive Endoscopy,Hybrid,3600,2023
Wiley,14677717,Disasters,Hybrid,3450,2023
Wiley,14653362,Drug and Alcohol Review,Hybrid,4220,2023
Wiley,10982299,Drug Development Research,Hybrid,3610,2023
Wiley,19427611,Drug Testing and Analysis,Hybrid,4840,2023
Wiley,10990909,Dyslexia,Hybrid,3140,2023
Wiley,17517893,Early Intervention in Psychiatry,Hybrid,4330,2023
Wiley,14680254,Early Medieval Europe,Hybrid,2630,2023
Wiley,10969837,Earth Surface Processes and Landforms,Hybrid,4840,2023
Wiley,10969845,Earthquake Engineering & Structural Dynamics,Hybrid,4530,2023
Wiley,27705706,Earthquake Engineering and Resilience,Hybrid,2650,2023
Wiley,15408175,Echocardiography,Hybrid,3350,2023
Wiley,19360592,Ecohydrology,Hybrid,4220,2023
Wiley,19395582,Ecological Applications,Hybrid,3600,2023
Wiley,13652311,Ecological Entomology,Hybrid,4200,2023
Wiley,14428903,Ecological Management & Restoration,Hybrid,2500,2023
Wiley,15577015,Ecological Monographs,Hybrid,3600,2023
Wiley,14401703,Ecological Research,Hybrid,3000,2023
Wiley,19399170,Ecology,Hybrid,3600,2023
Wiley,14610248,Ecology Letters,Hybrid,5050,2023
Wiley,16000633,Ecology of Freshwater Fish,Hybrid,3760,2023
Wiley,14680262,Econometrica,Hybrid,4800,2023
Wiley,14680270,Economic Affairs,Hybrid,2630,2023
Wiley,23304847,Economic Anthropology,Hybrid,3090,2023
Wiley,14657295,Economic Inquiry,Hybrid,3240,2023
Wiley,14680300,Economic Notes,Hybrid,2630,2023
Wiley,17593441,Economic Papers,Hybrid,2550,2023
Wiley,14754932,Economic Record,Hybrid,2630,2023
Wiley,14680335,Economica,Hybrid,3090,2023
Wiley,14680343,Economics & Politics,Hybrid,2940,2023
Wiley,25776983,Economics of Transition and Institutional Change,Hybrid,2730,2023
Wiley,17453992,Educational Measurement: Issues and Practices,Hybrid,3090,2023
Wiley,17415446,Educational Theory,Hybrid,2630,2023
Wiley,15206416,Electrical Engineering in Japan,Hybrid,2630,2023
Wiley,15214109,Electroanalysis,Hybrid,3450,2023
Wiley,19429541,Electronics and Communications in Japan,Hybrid,2630,2023
Wiley,15222683,ELECTROPHORESIS,Hybrid,4120,2023
Wiley,14693178,EMBO Reports,Hybrid,6100,2023
Wiley,17426723,Emergency Medicine Australasia,Hybrid,3400,2023
Wiley,25784862,Energy Storage,Hybrid,3140,2023
Wiley,21944296,Energy Technology,Hybrid,4220,2023
Wiley,15707458,Entomologia Experimentalis et Applicata,Hybrid,4220,2023
Wiley,17485967,Entomological Research,Hybrid,3000,2023
Wiley,14798298,Entomological Science,Hybrid,3400,2023
Wiley,10982280,Environmental and Molecular Mutagenesis,Hybrid,3400,2023
Wiley,14622920,Environmental Microbiology,Hybrid,4330,2023
Wiley,17569338,Environmental Policy and Governance,Hybrid,3450,2023
Wiley,19447450,Environmental Progress & Sustainable Energy,Hybrid,3660,2023
Wiley,15206483,Environmental Quality Management,Hybrid,3140,2023
Wiley,15227278,Environmental Toxicology,Hybrid,4120,2023
Wiley,15528618,Environmental Toxicology and Chemistry,Hybrid,3400,2023
Wiley,1099095X,Environmetrics,Hybrid,4330,2023
Wiley,15281167,Epilepsia,Hybrid,3950,2023
Wiley,13652338,EPPO Bulletin,Hybrid,3140,2023
Wiley,20423292,Equine Veterinary Education,Hybrid,3760,2023
Wiley,20423306,Equine Veterinary Journal,Hybrid,4070,2023
Wiley,25782363,Ethics & Human Research,Hybrid,2940,2023
Wiley,14390310,Ethology,Hybrid,4220,2023
Wiley,15481352,Ethos,Hybrid,3090,2023
Wiley,1746692X,EuroChoices,Hybrid,3140,2023
Wiley,10990968,European Eating Disorders Review,Hybrid,4330,2023
Wiley,1468036X,European Financial Management,Hybrid,3040,2023
Wiley,13652362,European Journal of Clinical Investigation,Hybrid,3710,2023
Wiley,16000579,European Journal of Dental Education,Hybrid,4020,2023
Wiley,14653435,European Journal of Education,Hybrid,3040,2023
Wiley,16000609,European Journal of Haematology,Hybrid,4220,2023
Wiley,18790844,European Journal of Heart Failure,Hybrid,5050,2023
Wiley,15214141,European Journal of Immunology,Hybrid,4120,2023
Wiley,10990682,European Journal of Inorganic Chemistry,Hybrid,3860,2023
Wiley,14389312,European Journal of Lipid Science and Technology,Hybrid,4020,2023
Wiley,14681331,European Journal of Neurology,Hybrid,4940,2023
Wiley,14609568,European Journal of Neuroscience,Hybrid,3090,2023
Wiley,16000722,European Journal of Oral Sciences,Hybrid,4020,2023
Wiley,10990690,European Journal of Organic Chemistry,Hybrid,4120,2023
Wiley,15322149,European Journal of Pain,Hybrid,4000,2023
Wiley,14680378,European Journal of Philosophy,Hybrid,2940,2023
Wiley,14756765,European Journal of Political Research,Hybrid,3710,2023
Wiley,20478852,European Journal of Political Research Political Data Yearbook,Hybrid,3090,2023
Wiley,10990992,European Journal of Social Psychology,Hybrid,3660,2023
Wiley,13652389,European Journal of Soil Science,Hybrid,4400,2023
Wiley,14680386,European Law Journal,Hybrid,3240,2023
Wiley,17404762,European Management Review,Hybrid,3040,2023
Wiley,23806567,European Policy Analysis,Hybrid,3140,2023
Wiley,1525142X,Evolution & Development,Hybrid,3450,2023
Wiley,15206505,Evolutionary Anthropology,Hybrid,4530,2023
Wiley,16000625,Experimental Dermatology,Hybrid,4740,2023
Wiley,14680394,Expert Systems,Hybrid,3860,2023
Wiley,15523934,Family & Consumer Sciences Research Journal,Hybrid,2630,2023
Wiley,17441617,Family Court Review,Hybrid,2630,2023
Wiley,15455300,Family Process,Hybrid,3090,2023
Wiley,17413729,Family Relations,Hybrid,3350,2023
Wiley,14602695,Fatigue & Fracture of Engineering Materials & Structures,Hybrid,4690,2023
Wiley,18733468,FEBS Letters,Hybrid,3610,2023
Wiley,1522239X,Feddes Repertorium,Hybrid,2630,2023
Wiley,26437961,Feminist Anthropology,Hybrid,3090,2023
Wiley,14680408,Financial Accountability & Management,Hybrid,2630,2023
Wiley,1755053X,Financial Management,Hybrid,2580,2023
Wiley,14680416,"Financial Markets, Institutions & Instruments",Hybrid,2630,2023
Wiley,25738615,Financial Planning Review,Hybrid,3050,2023
Wiley,10991018,Fire and Materials,Hybrid,3760,2023
Wiley,14755890,Fiscal Studies,Hybrid,3550,2023
Wiley,14672979,Fish and Fisheries,Hybrid,4530,2023
Wiley,15488446,Fisheries,Hybrid,3760,2023
Wiley,13652400,Fisheries Management and Ecology,Hybrid,4020,2023
Wiley,13652419,Fisheries Oceanography,Hybrid,4220,2023
Wiley,10991026,Flavour and Fragrance Journal,Hybrid,3760,2023
Wiley,19449720,Foreign Language Annals,Hybrid,3240,2023
Wiley,14390329,Forest Pathology,Hybrid,3660,2023
Wiley,15213978,Fortschritte der Physik,Hybrid,3140,2023
Wiley,13652427,Freshwater Biology,Hybrid,4940,2023
Wiley,15409309,Frontiers in Ecology and the Environment,Hybrid,3600,2023
Wiley,16156854,Fuel Cells,Hybrid,3450,2023
Wiley,13652435,Functional Ecology,Hybrid,3400,2023
Wiley,14728206,Fundamental & Clinical Pharmacology,Hybrid,2990,2023
Wiley,25735152,Futures & Foresight Science,Hybrid,3140,2023
Wiley,15222608,GAMM - Mitteilungen,Hybrid,3140,2023
Wiley,14680424,Gender & History,Hybrid,3040,2023
Wiley,14680432,"Gender, Work & Organisation",Hybrid,4430,2023
Wiley,19393466,General Anthropology,Hybrid,3090,2023
Wiley,13652443,Genes to Cells,Hybrid,3800,2023
Wiley,10982264,"Genes, Chromosomes and Cancer",Hybrid,4840,2023
Wiley,1526968X,Genesis: The Journal of Genetics and Development,Hybrid,3450,2023
Wiley,10982272,Genetic Epidemiology,Hybrid,3760,2023
Wiley,15206548,Geoarchaeology,Hybrid,3580,2023
Wiley,14724669,Geobiology,Hybrid,4430,2023
Wiley,15384632,Geographical Analysis,Hybrid,3760,2023
Wiley,17455871,Geographical Research,Hybrid,3040,2023
Wiley,17498198,Geography Compass (Electronic),Hybrid,3710,2023
Wiley,10991034,Geological Journal,Hybrid,3760,2023
Wiley,13652451,Geology Today,Hybrid,1000,2023
Wiley,13652478,Geophysical Prospecting,Hybrid,3760,2023
Wiley,1751908X,Geostandards & Geoanalytical Research,Hybrid,3810,2023
Wiley,14470594,Geriatrics & Gerontology International,Hybrid,3750,2023
Wiley,14680483,German Life and Letters,Hybrid,2940,2023
Wiley,17412358,Gerodontology,Hybrid,3710,2023
Wiley,10981136,Glia,Hybrid,4940,2023
Wiley,19449224,Global Biogeochemical Cycles,Hybrid,3700,2023
Wiley,19322062,Global Business and Organizational Excellence,Hybrid,3140,2023
Wiley,13652486,Global Change Biology,Hybrid,4120,2023
Wiley,14668238,Global Ecology and Biogeography,Hybrid,4530,2023
Wiley,14710374,Global Networks,Hybrid,3860,2023
Wiley,17585899,Global Policy,Hybrid,3810,2023
Wiley,20425805,Global Strategy Journal,Hybrid,3150,2023
Wiley,14680491,Governance,Hybrid,3860,2023
Wiley,13652494,Grass and Forage Science,Hybrid,4330,2023
Wiley,1744697X,Grassland Science,Hybrid,2830,2023
Wiley,21523878,Greenhouse Gases: Science and Technology,Hybrid,3400,2023
Wiley,17456584,Groundwater,Hybrid,4020,2023
Wiley,17456592,Groundwater Monitoring & Remediation,Hybrid,3550,2023
Wiley,14682257,Growth and Change,Hybrid,3090,2023
Wiley,13652516,Haemophilia,Hybrid,4530,2023
Wiley,1552146X,Hastings Center Report,Hybrid,3240,2023
Wiley,10970347,Head & Neck,Hybrid,4530,2023
Wiley,15264610,Headache: The Journal of Head and Face Pain,Hybrid,3950,2023
Wiley,10991050,Health Economics,Hybrid,4700,2023
Wiley,14711842,Health Information and Libraries Journal,Hybrid,2940,2023
Wiley,22011617,Health Promotion Journal of Australia,Hybrid,3150,2023
Wiley,14756773,Health Services Research,Hybrid,3400,2023
Wiley,26884542,Heat Transfer,Hybrid,2630,2023
Wiley,15235378,Helicobacter,Hybrid,3760,2023
Wiley,15222675,Helvetica Chimica Acta,Hybrid,3660,2023
Wiley,10991069,Hematological Oncology,Hybrid,4220,2023
Wiley,15424758,Hemodialysis International,Hybrid,3350,2023
Wiley,1872034X,Hepatology Research,Hybrid,3400,2023
Wiley,14682273,Higher Education Quarterly,Hybrid,2630,2023
Wiley,10981063,Hippocampus,Hybrid,4330,2023
Wiley,13652559,Histopathology,Hybrid,4840,2023
Wiley,1468229X,History,Hybrid,2630,2023
Wiley,14682303,History and Theory,Hybrid,3090,2023
Wiley,14780542,History Compass,Hybrid,2630,2023
Wiley,14681293,HIV Medicine,Hybrid,3760,2023
Wiley,20592310,HLA: Immune Response Genetics,Hybrid,4330,2023
Wiley,15206564,Human Factors and Ergonomics in Manufacturing & Service Industries,Hybrid,3090,2023
Wiley,10991077,Human Psychopharmacology: Clinical and Experimental,Hybrid,3660,2023
Wiley,15321096,Human Resource Development Quarterly,Hybrid,3350,2023
Wiley,1099050X,Human Resource Management,Hybrid,3760,2023
Wiley,17488583,Human Resource Management Journal,Hybrid,3860,2023
Wiley,10991085,Hydrological Processes,Hybrid,4740,2023
Wiley,1474919X,Ibis,Hybrid,4070,2023
Wiley,1600065X,Immunological Reviews,Hybrid,4530,2023
Wiley,13652567,Immunology,Hybrid,4840,2023
Wiley,14401711,Immunology & Cell Biology,Hybrid,3400,2023
Wiley,20427689,In Practice,Hybrid,2630,2023
Wiley,1468232X,Industrial Relations,Hybrid,3140,2023
Wiley,14682338,Industrial Relations Journal,Hybrid,2630,2023
Wiley,15327078,Infancy,Hybrid,3140,2023
Wiley,15227219,Infant and Child Development,Hybrid,2830,2023
Wiley,10970355,Infant Mental Health Journal,Hybrid,2940,2023
Wiley,13652575,Information Systems Journal,Hybrid,4640,2023
Wiley,17524598,Insect Conservation and Diversity,Hybrid,4300,2023
Wiley,13652583,Insect Molecular Biology,Hybrid,3750,2023
Wiley,17447917,Insect Science,Hybrid,3240,2023
